lpAddress,lpName,protocolName,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0x37cee65899da4b1738412814155540c98dfd752c,LinkSwap LP Token:MASQ/WETH,,0x06f3c323f0238c72bf35011071f2b5b7f43a054c,MASQ,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xc1b10e536cd611acff7a7c32a9e29ce6a02ef6ef,Balancer Pool Token,Balancer V1,0x33349b282065b0284d756f0577fb39c158f935e6,MPL,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x36e2fcccc59e5747ff63a03ea2e5c0c2c14911e7,SushiSwap LP Token,SushiSwap,0x8798249c2e607446efb7ad49ec89dd1865ff4272,xSUSHI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xba3436fd341f2c8a928452db3c5a3670d1d5cc73,Curve.fi:agEUR/EUROC,Curve,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,agEUR,18,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,EUROC,6
0xdcef968d416a41cdac0ed8702fac8128a64241a2,Curve.fi:FRAX/USDC,Curve,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x94b86ca6f7a495930fe7f552eb9e4cbb5ef2b736,SushiSwap LP Token,SushiSwap,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xf16e81dce15b08f326220742020379b855b87df9,ICE,18
0x438633db5462144559cf880a2466de8e9be966aa,SushiSwap LP Token,SushiSwap,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,TRAC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xfcff3b04c499a57778ae2cf05584ab24278a7fcb,SushiSwap LP Token,SushiSwap,0x0d438f3b5175bebc262bf23753c1e53d03432bde,wNXM,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,Uniswap V2:WETH/TSUKA,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,TSUKA,9
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,UniswapV3 LP,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x48d20b3e529fb3dd7d91293f80638df582ab2daa,Uniswap V2,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xf3b9569f82b18aef890de263b84189bd33ebe452,CAW,18
0x7b28470032da06051f2e620531adbaeadb285408,Uniswap V2,Uniswap V2,0x33349b282065b0284d756f0577fb39c158f935e6,MPL,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0xd632f22692fac7611d2aa1c0d552930d43caed3b,Curve.fi Factory USD Metapool: Frax,Curve,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,18,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,3Crv,18
0x841bb1966c1d1b80634111691471c667e4c2bfe4,Uniswap V2,Uniswap V2,0x3819f64f282bf135d62168c1e513280daf905e06,HDRN,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,UniswapV3 LP,Uniswap V3,0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x820c9e1c10b21817e515655fe3ae29a9b6bae959,RadioShack Swap LP Token:XMC/WETH,,0xaa3f6003d72fb579f29a91742cf3cefea83cebba,XMC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x80c7770b4399ae22149db17e97f9fc8a10ca5100,UniswapV3 LP,Uniswap V3,0xa8b919680258d369114910511cc87595aec0be6d,LYXe,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x57654ae132413e81459ad2ae70c2570a9b89fb53,ShibaSwap LP Token,ShibaSwap,0x27c70cd1946795b66be9d954418546998b546634,LEASH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x98a7f18d4e56cfe84e3d081b40001b3d5bd3eb8b,Curve EURS-USDC,Curve,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xdb25f211ab05b1c97d595516f45794528a807ad8,EURS,2
0xe42318ea3b998e8355a3da364eb9d48ec725eb45,UniswapV3 LP,Uniswap V3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,18
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,UniswapV3 LP,Uniswap V3,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xdab6d56915d36060c8d6cf29a7a84910da614603,SushiSwap LP Token,SushiSwap,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,Metis,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xc697051d1c6296c24ae3bcef39aca743861d9a81,Balancer Pool Token,Balancer V1,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xcd8b09f495a41965e22b9dde94c71f49484986c9,Uniswap V2:MUZZLE/WETH,Uniswap V2,0x0ea31c0ea43dad0118a8196a4ec9105653b52046,MUZZLE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x91204649a5c9ab2cadfc2089fd22ed0fbfe170ed,Uniswap V2,Uniswap V2,0x6b1a8f210ec6b7b6643cea3583fb0c079f367898,BXX,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,Uniswap V2,Uniswap V2,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,Uniswap V2,Uniswap V2,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x5a6a4d54456819380173272a5e8e9b9904bdf41b,Curve.fi Factory USD Metapool: Magic Internet Money 3Pool,Curve,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,MIM,18,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,3Crv,18
0xa1a954389fb4a24d7b338032b20b4d924a470f9b,Uniswap V2:WETH/MMX,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xdc2c540fd99eb5dc424095c8c6a63f7c805d46e9,MMX,18
0xd8a07e9fe071106bf29536b93e8c9a26527af787,Uniswap V2,Uniswap V2,0x41a3dba3d677e573636ba691a70ff2d606c29666,BLANK,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,UniswapV3 LP,Uniswap V3,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,GALA,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x5fae7e604fc3e24fd43a72867cebac94c65b404a,Curve.fi:WETH/cbETH,Curve,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xbe9895146f7af43049ca1c1ae358b0541ea49704,cbETH,18
0x015769601d8d4879c0e193eeab31f10cf03c9ea9,Uniswap V3:USDC/MLP,Uniswap V3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xe22020f47b7378dfedcedd2c81d4137c22fe1152,MLP,18
0x7351002531e660361dd7db7a154a6a0e58f82b77,Uniswap V2:LUCY/WETH,Uniswap V2,0x45ff085c34ab1d31ace16bfbf2ba7d3494182e18,LUCY,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xc6f6bbb40155d1d2e6becffa0e7eaad5ce2f16b4,Uniswap V2:XEN/USDC,Uniswap V2,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,XEN,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x05104ebba2b6d3b8254aa41cf6df80462f6160ae,SushiSwap LP Token:SYN/USDC,SushiSwap,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x828b154032950c8ff7cf8085d841723db2696056,Curve.fi Factory Plain Pool: stETH concentrated,Curve,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18
0x4a97b4da0d43e1d36952e239cfda8922e8643931,UniswapV3 LP,Uniswap V3,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,8,0x3819f64f282bf135d62168c1e513280daf905e06,HDRN,9
0xf7d31825946e7fd99ef07212d34b9dad84c396b7,Uniswap V2,Uniswap V2,0x9813037ee2218799597d83d4a5b6f3b6778218d9,BONE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xe20745b629df6456dc8840ff4bc6e275459b3edf,Uniswap V2:TAMA/WETH,Uniswap V2,0x12b6893ce26ea6341919fe289212ef77e51688c8,TAMA,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xd7dcb0eb6aab643b85ba74cf9997c840fe32e695,UniswapV3 LP,Uniswap V3,0x68037790a0229e9ce6eaa8a99ea92964106c4703,PAR,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x153f2044feace1eb377c6e1cf644d12677bd86fd,Uniswap V2:YDF/WETH,Uniswap V2,0x30dcba0405004cf124045793e1933c798af9e66a,YDF,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xcf6daab95c476106eca715d48de4b13287ffdeaa,ShibaSwap LP Token,ShibaSwap,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x447ddd4960d9fdbf6af9a790560d0af76795cb08,Curve.fi Factory Plain Pool: rETH/wstETH,Curve,0xae78736cd615f374d3085123a210448e74fc6393,rETH,18,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,18
